                          ,      ,Start of Bloom, Amplitude,    Duration,    Magnitude
Region                    ,  Year, (Day of Year),  (mg/m^3),    (# days), (Area under Gaussian)
Northeast_Nfld_Shelf      ,  2014,       123.0,       1.996,        16.7,       23.26
Northeast_Nfld_Shelf      ,  2015,       125.3,       5.212,        13.7,       49.91
Northeast_Nfld_Shelf      ,  2016,       103.7,       1.721,        36.9,       44.31
Northeast_Nfld_Shelf      ,  2017,       124.2,       1.898,        35.7,       47.35
Northern_Labrador_Shelf   ,  2003,            ,            ,            ,            
Northern_Labrador_Shelf   ,  2004,       137.2,       0.847,        42.8,       25.34
Northern_Labrador_Shelf   ,  2005,       144.6,       1.583,        23.2,       25.59
Northern_Labrador_Shelf   ,  2006,       132.5,       0.790,        44.8,       24.70
Northern_Labrador_Shelf   ,  2007,            ,            ,            ,            
Northern_Labrador_Shelf   ,  2008,       138.4,       0.524,        36.0,       13.17
Northern_Labrador_Shelf   ,  2009,       161.8,       0.985,        29.3,       20.15
Northern_Labrador_Shelf   ,  2010,       161.0,       0.884,        22.8,       14.10
Northern_Labrador_Shelf   ,  2011,       145.3,       1.650,        19.9,       22.91
Northern_Labrador_Shelf   ,  2012,       148.2,       0.765,        32.0,       17.06
Northern_Labrador_Shelf   ,  2013,            ,            ,            ,            
Northern_Labrador_Shelf   ,  2014,       157.1,       2.328,        13.4,       21.71
Northern_Labrador_Shelf   ,  2015,       141.6,       2.413,        16.0,       26.98
Northern_Labrador_Shelf   ,  2016,       154.8,       0.756,        19.6,       10.36
Northern_Labrador_Shelf   ,  2017,            ,            ,            ,            
Northwest_GSL             ,  2003,       105.0,       5.161,        83.3,      300.13
Northwest_GSL             ,  2004,       107.8,       6.591,        70.9,      326.14
Northwest_GSL             ,  2005,        97.7,       8.022,        16.2,       90.49
Northwest_GSL             ,  2006,            ,            ,            ,            
Northwest_GSL             ,  2007,       116.9,       4.067,        37.2,      105.51
Northwest_GSL             ,  2008,       113.8,       7.361,        28.7,      147.42
Northwest_GSL             ,  2009,       110.1,       6.728,        23.8,      111.65
Northwest_GSL             ,  2010,        74.2,       3.223,        34.0,       76.43
Northwest_GSL             ,  2011,       101.6,       6.373,        18.8,       83.87
Northwest_GSL             ,  2012,        99.9,       7.869,        20.3,      111.44
Northwest_GSL             ,  2013,       108.5,       5.341,        54.1,      201.74
Northwest_GSL             ,  2014,       107.5,       5.523,        76.0,      293.08
Northwest_GSL             ,  2015,        97.1,       5.119,        94.9,      339.16
Northwest_GSL             ,  2016,       106.9,      11.727,        16.8,      137.86
Northwest_GSL             ,  2017,       100.3,       4.400,        71.8,      220.58
Southeast_Shoal           ,  2003,       115.7,       3.445,        15.2,       36.61
Southeast_Shoal           ,  2004,        84.8,       1.656,        54.9,       63.47
Southeast_Shoal           ,  2005,        91.5,       1.619,        28.1,       31.78
Southeast_Shoal           ,  2006,        77.9,       4.247,        50.8,      150.53
Southeast_Shoal           ,  2007,       103.9,       8.560,        12.3,       73.60
Southeast_Shoal           ,  2008,       104.6,       6.760,        10.6,       49.99
Southeast_Shoal           ,  2009,            ,            ,            ,            
Southeast_Shoal           ,  2010,        79.1,       9.169,        13.2,       84.58
Southeast_Shoal           ,  2011,            ,            ,            ,            
Southeast_Shoal           ,  2012,        93.1,       2.564,        17.2,       30.78
Southeast_Shoal           ,  2013,        82.2,       4.446,        42.6,      132.17
Southeast_Shoal           ,  2014,        68.9,       4.683,        66.6,      217.89
Southeast_Shoal           ,  2015,       124.8,       2.690,        11.1,       20.77
Southeast_Shoal           ,  2016,            ,            ,            ,            
Southeast_Shoal           ,  2017,       109.0,       3.596,        21.1,       53.00
St.Anthony_Basin          ,  2003,       139.3,       8.345,        14.6,       84.93
St.Anthony_Basin          ,  2004,       110.8,       1.652,        43.7,       50.35
St.Anthony_Basin          ,  2005,       101.4,       1.222,        30.5,       26.04
St.Anthony_Basin          ,  2006,       103.0,       4.711,        17.2,       56.44
St.Anthony_Basin          ,  2007,       108.5,       1.426,        63.0,       62.73
St.Anthony_Basin          ,  2008,       108.7,       1.251,        27.9,       24.39
St.Anthony_Basin          ,  2009,       127.6,       1.542,        46.1,       49.58
St.Anthony_Basin          ,  2010,        85.6,       0.946,        73.4,       48.47
St.Anthony_Basin          ,  2011,       105.0,       3.081,        40.0,       86.03
St.Anthony_Basin          ,  2012,       100.2,       1.216,        68.8,       58.43
St.Anthony_Basin          ,  2013,       129.5,       2.359,        18.5,       30.45
St.Anthony_Basin          ,  2014,       109.6,       0.790,        52.3,       28.84
St.Anthony_Basin          ,  2015,       127.1,       6.931,        15.4,       74.53
St.Anthony_Basin          ,  2016,       126.6,       1.673,        24.4,       28.47
St.Anthony_Basin          ,  2017,       117.3,       1.315,        40.0,       36.71
Western_Bank              ,  2003,        59.3,       1.564,        41.3,       45.12
Western_Bank              ,  2004,        55.7,       1.671,        52.1,       60.83
Western_Bank              ,  2005,        60.1,       1.107,        32.9,       25.45
Western_Bank              ,  2006,        41.4,       0.860,        68.5,       41.13
Western_Bank              ,  2007,        68.1,       2.372,        42.0,       69.51
Western_Bank              ,  2008,        62.2,       0.787,        38.4,       21.13
Western_Bank              ,  2009,        43.7,       1.499,        63.5,       66.49
Western_Bank              ,  2010,        53.3,       0.924,        42.3,       27.25
Western_Bank              ,  2011,        30.0,       2.487,        59.7,      103.61
Western_Bank              ,  2012,        55.2,       0.911,        47.4,       30.14
Western_Bank              ,  2013,        76.3,       0.693,        51.4,       24.88
Western_Bank              ,  2014,        50.2,       1.057,        59.8,       44.17
Western_Bank              ,  2015,        59.2,       1.343,        64.0,       60.04
Western_Bank              ,  2016,            ,            ,            ,            
Western_Bank              ,  2017,        24.4,       1.055,        91.4,       67.36
Western_Scotian_Shelf     ,  2003,        97.5,       6.374,        15.1,       67.10
Western_Scotian_Shelf     ,  2004,        90.1,       3.901,        14.6,       39.80
Western_Scotian_Shelf     ,  2005,        86.0,       0.594,        18.8,        7.80
Western_Scotian_Shelf     ,  2006,        82.2,       2.826,        21.6,       42.58
Western_Scotian_Shelf     ,  2007,        87.0,       3.822,        21.1,       56.24
Western_Scotian_Shelf     ,  2008,        96.3,       1.728,        27.2,       32.78
Western_Scotian_Shelf     ,  2009,        94.7,       3.422,        12.9,       30.71
Western_Scotian_Shelf     ,  2010,        85.4,       2.982,        12.6,       26.16
Western_Scotian_Shelf     ,  2011,        93.5,       0.967,        17.7,       11.98
Western_Scotian_Shelf     ,  2012,        19.9,       0.759,       100.5,       53.26
Western_Scotian_Shelf     ,  2013,        96.6,       1.100,        25.1,       19.28
Western_Scotian_Shelf     ,  2014,        80.9,       1.201,        27.1,       22.72
Western_Scotian_Shelf     ,  2015,       101.4,       1.201,        22.6,       18.94
Western_Scotian_Shelf     ,  2016,        38.2,       0.570,        87.2,       34.67
Western_Scotian_Shelf     ,  2017,        88.1,       1.498,        20.6,       21.59
